"","dayOfWeek","dayOfMonth","month","year","reports","temp","dewp","slp","visib","wdsp","mxpsd","max","min","prcp","sndp"
"1",2,1,1,2001,1831,20.7,13.9,1030.1,9.7,5.9,12,26.6,14,0,16.1
"2",3,2,1,2001,1143,14.1,8.6,1036.5,9.9,7.4,12,19.9,7,0,15
"3",4,3,1,2001,1151,16.5,12.9,1025.5,5.5,10.7,15.9,28.4,6.8,0,14.2
"4",5,4,1,2001,1166,26.5,22.8,1018.9,6.3,8.2,15,28.9,23,0,14.2
"5",6,5,1,2001,1267,32.8,25.7,1004,9.1,13.4,19,37.4,26.6,0.35,13
"6",7,6,1,2001,1292,26.8,19,1009.2,10,8.7,16.9,35.6,19.4,0.05,11.8
"7",1,7,1,2001,1105,31.1,25,1009.4,8.4,7.8,13,35.6,26.6,0,11.8
"8",2,8,1,2001,1157,24,16.4,1018.3,10,8.3,12,28.9,19,0,11
"9",3,9,1,2001,1184,19.2,11.2,1026.1,10,9.2,14,25,12,0,11
"10",4,10,1,2001,1237,24.7,17.2,1023.3,10,10.2,15,35.6,19.4,0,11
"11",5,11,1,2001,1227,30.4,22.9,1020.5,9.5,6.8,9.9,39.9,24.1,0,11
"12",6,12,1,2001,1353,31.5,27.4,1022.4,5.6,4.2,7,37,28,0,9.1
"13",7,13,1,2001,1311,34.5,31,1023.8,4.2,6,12,37.4,33.8,0,7.9
"14",1,14,1,2001,1119,35.5,31.1,1015,3.4,8.4,12,37.9,33.1,0.18,5.9
"15",2,15,1,2001,1312,35.1,33.4,1013.4,3.7,10.6,15.9,37.4,33.8,0.06,3.9
"16",3,16,1,2001,1251,31,26.9,1021.6,6.3,10.3,15.9,34,28,0,3.9
"17",4,17,1,2001,1288,25.9,21,1026.6,7.4,7.1,11.1,28.4,24.8,0,3.9
"18",5,18,1,2001,1278,23.8,20.1,1019.7,5.9,8.4,12,32,19,0,3.1
"19",6,19,1,2001,1214,27.3,21.4,1018.8,6.9,9.3,15.9,30.2,24.8,0,3.1
"20",7,20,1,2001,1256,21.6,13.5,1025,9.1,8.8,13,26.6,19.4,0,3.1
"21",1,21,1,2001,1105,18.3,10.8,1026.7,9.7,7,11.1,28,12,0,3.1
"22",2,22,1,2001,1180,21.3,14.4,1030,6.4,4.4,8,30.2,15.8,0,3.1
"23",3,23,1,2001,1250,30.4,24.2,1023.1,6,7.2,9.9,35.6,24.8,0,3.1
"24",4,24,1,2001,1101,24.3,18.3,1021.3,7.5,9,16.9,30,19,0,3.1
"25",5,25,1,2001,1183,22.1,12,1030.7,9.7,9.4,14,27,15.1,0,3.1
"26",6,26,1,2001,1296,26,19.9,1017.9,6.9,10.6,16.9,32,19.9,0,3.9
"27",7,27,1,2001,1215,25.1,17.2,1022,9,11.4,15,32,19,0,3.9
"28",1,28,1,2001,1076,20,12,1027,9.6,8,12,28.9,15.1,0,3.9
"29",2,29,1,2001,1175,32.7,30.3,1016.1,4.6,7.7,12,39.2,26.6,0.41,2
"30",3,30,1,2001,1211,37.7,35.5,995.4,6.8,9.3,20,43,33.1,0.41,1.2
"31",4,31,1,2001,1190,34.4,30.9,1005.1,6.3,9.8,14,36,33.1,0.01,1.2
"32",5,1,2,2001,1333,28.8,21.9,1018.3,7.4,9.2,14,34,21.9,0,0
"33",6,2,2,2001,1236,8.6,-0.2,1026.2,9.1,11.8,16.9,26.6,-0.4,0,0
"34",7,3,2,2001,1185,18,11,1023.9,9.4,9.7,13,30.2,10.4,0,0
"35",1,4,2,2001,1149,33.8,28.9,1015.1,7.9,6.5,12,36,28.9,0.01,0
"36",2,5,2,2001,1313,30.3,25.9,1016.2,5.4,8.5,14,34,28,0,0
"37",3,6,2,2001,1197,32.6,27.9,1015.7,5.3,6.7,12,39,30,0.12,0
"38",4,7,2,2001,1245,28.1,23.9,1025,4.6,5,13,36,21,0,0
