date,dayOfWeek,dayOfMonth,month,year,reports,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp
2001-01-01,2,01,01,2001,1831,20.7,13.9,1030.1,9999.9,9.7,5.9,12.0,999.9,26.6,14.0,0.0,16.1
2001-01-02,3,02,01,2001,1143,14.1,8.6,1036.5,9999.9,9.9,7.4,12.0,999.9,19.9,7.0,0.0,15.0
2001-01-03,4,03,01,2001,1151,16.5,12.9,1025.5,9999.9,5.5,10.7,15.9,20.0,28.4,6.8,0.0,14.2
2001-01-04,5,04,01,2001,1166,26.5,22.8,1018.9,9999.9,6.3,8.2,15.0,22.9,28.9,23.0,0.0,14.2
2001-01-05,6,05,01,2001,1267,32.8,25.7,1004.0,9999.9,9.1,13.4,19.0,26.0,37.4,26.6,0.35,13.0
2001-01-06,7,06,01,2001,1292,26.8,19.0,1009.2,9999.9,10.0,8.7,16.9,22.9,35.6,19.4,0.05,11.8
2001-01-07,1,07,01,2001,1105,31.1,25.0,1009.4,9999.9,8.4,7.8,13.0,999.9,35.6,26.6,0.0,11.8
2001-01-08,2,08,01,2001,1157,24.0,16.4,1018.3,9999.9,10.0,8.3,12.0,999.9,28.9,19.0,0.0,11.0
2001-01-09,3,09,01,2001,1184,19.2,11.2,1026.1,9999.9,10.0,9.2,14.0,999.9,25.0,12.0,0.0,11.0
2001-01-10,4,10,01,2001,1237,24.7,17.2,1023.3,9999.9,10.0,10.2,15.0,19.0,35.6,19.4,0.0,11.0
2001-01-11,5,11,01,2001,1227,30.4,22.9,1020.5,9999.9,9.5,6.8,9.9,15.9,39.9,24.1,0.0,11.0
2001-01-12,6,12,01,2001,1353,31.5,27.4,1022.4,9999.9,5.6,4.2,7.0,999.9,37.0,28.0,0.0,9.1
2001-01-13,7,13,01,2001,1311,34.5,31.0,1023.8,9999.9,4.2,6.0,12.0,999.9,37.4,33.8,0.0,7.9
2001-01-14,1,14,01,2001,1119,35.5,31.1,1015.0,9999.9,3.4,8.4,12.0,999.9,37.9,33.1,0.18,5.9
2001-01-15,2,15,01,2001,1312,35.1,33.4,1013.4,9999.9,3.7,10.6,15.9,19.0,37.4,33.8,0.06,3.9
2001-01-16,3,16,01,2001,1251,31.0,26.9,1021.6,9999.9,6.3,10.3,15.9,22.9,34.0,28.0,0.0,3.9
2001-01-17,4,17,01,2001,1288,25.9,21.0,1026.6,9999.9,7.4,7.1,11.1,999.9,28.4,24.8,0.0,3.9
2001-01-18,5,18,01,2001,1278,23.8,20.1,1019.7,9999.9,5.9,8.4,12.0,16.9,32.0,19.0,0.0,3.1
2001-01-19,6,19,01,2001,1214,27.3,21.4,1018.8,9999.9,6.9,9.3,15.9,25.1,30.2,24.8,0.0,3.1
2001-01-20,7,20,01,2001,1256,21.6,13.5,1025.0,9999.9,9.1,8.8,13.0,999.9,26.6,19.4,0.0,3.1
2001-01-21,1,21,01,2001,1105,18.3,10.8,1026.7,9999.9,9.7,7.0,11.1,999.9,28.0,12.0,0.0,3.1
2001-01-22,2,22,01,2001,1180,21.3,14.4,1030.0,9999.9,6.4,4.4,8.0,999.9,30.2,15.8,0.0,3.1
2001-01-23,3,23,01,2001,1250,30.4,24.2,1023.1,9999.9,6.0,7.2,9.9,999.9,35.6,24.8,0.0,3.1
2001-01-24,4,24,01,2001,1101,24.3,18.3,1021.3,9999.9,7.5,9.0,16.9,999.9,30.0,19.0,0.0,3.1
2001-01-25,5,25,01,2001,1183,22.1,12.0,1030.7,9999.9,9.7,9.4,14.0,999.9,27.0,15.1,0.0,3.1
2001-01-26,6,26,01,2001,1296,26.0,19.9,1017.9,9999.9,6.9,10.6,16.9,22.0,32.0,19.9,0.0,3.9
2001-01-27,7,27,01,2001,1215,25.1,17.2,1022.0,9999.9,9.0,11.4,15.0,22.9,32.0,19.0,0.0,3.9
2001-01-28,1,28,01,2001,1076,20.0,12.0,1027.0,9999.9,9.6,8.0,12.0,999.9,28.9,15.1,0.0,3.9
2001-01-29,2,29,01,2001,1175,32.7,30.3,1016.1,9999.9,4.6,7.7,12.0,999.9,39.2,26.6,0.41,2.0
2001-01-30,3,30,01,2001,1211,37.7,35.5,995.4,9999.9,6.8,9.3,20.0,27.0,43.0,33.1,0.41,1.2
2001-01-31,4,31,01,2001,1190,34.4,30.9,1005.1,9999.9,6.3,9.8,14.0,999.9,36.0,33.1,0.01,1.2
2001-02-01,5,01,02,2001,1333,28.8,21.9,1018.3,9999.9,7.4,9.2,14.0,999.9,34.0,21.9,0.0,999.9
2001-02-02,6,02,02,2001,1236,8.6,-0.2,1026.2,9999.9,9.1,11.8,16.9,20.0,26.6,-0.4,0.0,999.9
2001-02-03,7,03,02,2001,1185,18.0,11.0,1023.9,9999.9,9.4,9.7,13.0,22.9,30.2,10.4,99.99,999.9
2001-02-04,1,04,02,2001,1149,33.8,28.9,1015.1,9999.9,7.9,6.5,12.0,999.9,36.0,28.9,0.01,999.9
2001-02-05,2,05,02,2001,1313,30.3,25.9,1016.2,9999.9,5.4,8.5,14.0,15.9,34.0,28.0,0.0,999.9
2001-02-06,3,06,02,2001,1197,32.6,27.9,1015.7,9999.9,5.3,6.7,12.0,999.9,39.0,30.0,0.12,999.9
2001-02-07,4,07,02,2001,1245,28.1,23.9,1025.0,9999.9,4.6,5.0,13.0,999.9,36.0,21.0,0.0,999.9
2001-02-08,5,08,02,2001,1242,42.3,37.1,1017.4,9999.9,5.1,7.1,13.0,999.9,51.8,35.6,0.06,999.9
